,priogrid
638,186316
639,194299
640,181904
641,208473
642,186887
643,104295
644,121883
645,107526
646,95979
647,158919
648,121183
649,228645
650,197793
651,205357
652,188450
653,156101
654,205762
655,94240
656,94222
657,85585
658,233852
659,175864
660,212220
661,215403
662,190526
663,177021
664,198492
665,227326
666,121195
667,222252
668,220447
669,90592
670,170513
671,187556
672,198925
673,183376
674,220048
675,156761
676,64300
677,174696
678,153540
679,70072
680,179430
681,216075
682,88502
683,88077
684,156788
685,177634
686,230798
687,198131
688,235242
689,233117
690,221182
691,75845
692,207285
693,207389
694,168332
695,182053
696,125546
697,238519
698,196234
699,224754
700,227973
701,223525
702,206498
703,203174
704,125487
705,164749
706,216617
707,135586
708,121891
709,131262
710,175559
711,196709
712,176976
713,214429
714,205784
715,189851
716,204612
717,86315
718,223776
719,244249
720,180592
721,123404
722,188100
723,205877
724,191645
725,125545
726,212189
727,81961
728,210419
729,130534
730,185540
731,207809
732,58539
733,200668
734,74150
735,100019
736,219674
737,75096
738,191004
739,168990
740,221146
741,202756
742,193370
743,145679
744,194593
745,239596
746,218265
747,130216
748,179103
749,204192
750,162544
751,212232
752,213216
753,84121
754,222255
755,209311
756,210201
757,161136
758,198352
759,71509
760,88507
761,174825
762,153523
763,211454
764,204600
765,223360
766,217210
767,213695
768,222352
769,181299
770,137365
771,192602
772,196236
773,209963
774,186211
775,191990
776,238261
777,121927
778,76564
779,222181
780,162571
781,220302
782,214307
783,117238
784,172960
785,95280
786,213238
787,172220
788,88434
789,215029
790,188063
791,183058
792,184117
793,219283
794,166187
795,107181
796,208754
797,244988
798,87766
799,246411
800,207249
801,197450
802,223706
803,135922
804,226835
805,215375
806,189531
807,200280
808,215338
809,196371
810,174110
811,227937
812,138483
813,61422
814,167614
815,119073
816,102162
817,195021
818,206536
819,195519
820,239600
821,90662
822,216129
823,203444
824,83032
825,200033
826,198946
827,176176
828,80511
829,212110
830,164692
831,153926
832,124488
833,201042
834,84847
835,176203
836,226290
837,205560
838,68388
839,132371
840,218106
841,103569
842,184818
843,231018
844,67900
845,173273
846,221988
847,116892
848,223250
849,179899
850,231685
851,226769
852,202516
853,192834
854,108265
855,93134
856,197901
857,204924
858,197432
859,190972
860,171119
861,152429
862,99588
863,218141
864,105011
865,179142
866,124486
867,228132
868,212208
869,216476
870,117635
871,216538
872,202128
873,74373
874,236726
875,209032
876,212510
877,225467
878,204606
879,121624
880,224674
881,98510
882,223724
883,231525
884,190630
885,120106
886,206145
887,230599
888,184118
889,210452
890,189934
891,180188
892,185942
893,111509
894,226160
895,209022
896,226082
897,221863
898,185652
899,108967
900,220337
901,190591
902,190283
903,86622
904,184803
905,226645
906,205636
907,138084
908,219634
909,229758
910,210628
911,81246
912,224859
913,203422
914,112538
915,96374
916,200011
917,129129
918,194072
919,225806
920,207536
921,190957
922,171138
923,102129
924,179406
925,212362
926,228139
927,72219
928,74086
929,218939
930,226497
931,195512
932,198169
933,148893
934,158449
935,228788
936,194998
937,77675
938,228841
939,207091
940,166906
941,231765
942,116198
943,189977
944,219977
945,223308
946,210091
947,202273
948,223597
949,201068
950,156423
951,176258
952,225427
953,247867
954,116205
955,163255
956,224495
957,163972
958,196017
959,224539
960,240315
961,201811
962,239940
963,206042
964,95694
965,200563
966,89210
967,118371
968,178683
969,222472
970,211797
971,187359
972,218301
973,176937
974,189979
975,202778
976,198544
977,216864
978,103957
979,131259
980,201460
981,83030
982,208199
983,140627
984,175113
985,157489
986,190644
987,199832
988,225756
989,211378
990,186831
991,107525
992,173712
993,180551
994,215017
995,231982
996,235305
997,125529
998,213665
999,98521
1000,155693
1001,229772
1002,202781
1003,212501
1004,117963
1005,226089
1006,102877
1007,222521
1008,169691
1009,105117
1010,221590
1011,61896
1012,203501
1013,107551
1014,188434
1015,208956
1016,172228
1017,232478
1018,216670
1019,90226
1020,124815
1021,224404
1022,220510
1023,226033
1024,203686
1025,119755
1026,70773
1027,189210
1028,226275
1029,225492
1030,192786
1031,108954
1032,102487
1033,226609
1034,202462
1035,98153
1036,208615
1037,185946
1038,181187
1039,111831
1040,214933
1041,53495
1042,191960
1043,72231
1044,101035
1045,163313
1046,178016
1047,183750
1048,183475
1049,184804
1050,120495
1051,186210
1052,193442
1053,223774
1054,230328
1055,196359
1056,222862
1057,181136
1058,205013
1059,184932
1060,105740
1061,232443
1062,216125
1063,160394
1064,114743
1065,163267
1066,187325
1067,124061
1068,235284
1069,199126
1070,231081
1071,200988
1072,221630
1073,201486
1074,80137
1075,225173
1076,186161
1077,223366
1078,164014
1079,208462
1080,205788
1081,230800
1082,148167
1083,172928
1084,238232
1085,107522
1086,224372
1087,239606
1088,227950
1089,63573
1090,211438
1091,216453
1092,219983
1093,124086
1094,171165
1095,178746
1096,201326
1097,167911
1098,212257
1099,123325
1100,227377
1101,186998
1102,194305
1103,212555
1104,210916
1105,109657
1106,168983
1107,228175
1108,242096
1109,230603
1110,157011
1111,116183
1112,221888
1113,208842
1114,225890
1115,176170
1116,112231
1117,194289
1118,106787
1119,220804
1120,217319
1121,100331
1122,111513
1123,198158
1124,192780
1125,226167
1126,159327
1127,198398
1128,139167
1129,87377
1130,219986
1131,213272
1132,237772
1133,195563
1134,158239
1135,179767
1136,213954
1137,213951
1138,130904
1139,203209
1140,180558
1141,219408
1142,227596
1143,105756
1144,89154
1145,223114
1146,231713
1147,91691
1148,192827
1149,223162
1150,177300
1151,186669
1152,199297
1153,186654
1154,139911
1155,229625
1156,215730
1157,189836
1158,151778
1159,174803
1160,221135
1161,101788
1162,85210
1163,229042
1164,224967
1165,224607
1166,194547
1167,225073
1168,52778
1169,230897
1170,204973
1171,229138
1172,100735
1173,204964
1174,94574
1175,206118
1176,227969
1177,208916
1178,207258
1179,184734
1180,182332
1181,181321
1182,181269
1183,200621
1184,209014
1185,134846
1186,204321
1187,206562
1188,186675
1189,206758
1190,235335
1191,230168
1192,131603
1193,224966
1194,219426
1195,88092
1196,218192
1197,199690
1198,158931
1199,218237
1200,163290
1201,199978
1202,157127
1203,230246
1204,210843
1205,202141
1206,210658
1207,162533
1208,212899
1209,173343
1210,121197
1211,228191
1212,228057
1213,232249
1214,230212
1215,217223
1216,225595
1217,235640
1218,85918
1219,211006
1220,175536
1221,221061
1222,198935
1223,195538
1224,179138
1225,198880
1226,179824
1227,190566
1228,189005
1229,214306
1230,153883
1231,100330
1232,227577
1233,93861
1234,212294
1235,225474
1236,180897
1237,200532
1238,222444
1239,219639
1240,219576
1241,90594
1242,87002
1243,156083
1244,223212
1245,91362
1246,96394
1247,228099
1248,203987
1249,217489
1250,224001
1251,229484
1252,146739
1253,105116
1254,226693
1255,87345
1256,227507
1257,227932
1258,174069
1259,217565
1260,206077
1261,169776
1262,196209
1263,224739
1264,176726
1265,225887
1266,171909
1267,171884
1268,232312
1269,85620
1270,220408
1271,213648
1272,224484
1273,172641
1274,145290
1275,73657
1276,146051
1277,220539
1278,123713
1279,99626
1280,160027
1281,203601
1282,176537
1283,126949
1284,220072
1285,217496
1286,205945
1287,211777
1288,160719
1289,187038
1290,200623
1291,209033
1292,115408
1293,230929
1294,237455
1295,200778
1296,201829
1297,204181
1298,115142
1299,225131
1300,142400
1301,179474
1302,232314
1303,186836
1304,239527
1305,177309
1306,129844
1307,179084
1308,179031
1309,206752
1310,182282
1311,207707
1312,216868
1313,181254
1314,220266
1315,204203
1316,220456
1317,217301
1318,198168
1319,194934
1320,227406
1321,216115
1322,173263
1323,239619
1324,175478
1325,190282
1326,216139
1327,186341
1328,187354
1329,130206
1330,208714
1331,216078
1332,63570
1333,217250
1334,120815
1335,209181
1336,85599
1337,174429
1338,184039
1339,123359
1340,247885
1341,142784
1342,197194
1343,211379
1344,94217
1345,175477
1346,94956
1347,230615
1348,225348
1349,166129
1350,222330
1351,206130
1352,226137
1353,219708
1354,210145
1355,220799
1356,232763
1357,219764
1358,229578
1359,143801
1360,218858
1361,205388
1362,227030
1363,223265
1364,216040
1365,215368
1366,210146
1367,94203
1368,236635
1369,219655
1370,216044
1371,148561
1372,218241
1373,223187
1374,212575
1375,227348
1376,226010
1377,219052
1378,221914
1379,191378
1380,191988
1381,210450
1382,224791
1383,232387
1384,228319
1385,242080
1386,232004
1387,232727
1388,189196
1389,189190
1390,230261
1391,143512
1392,209937
1393,118040
1394,212031
1395,230213
1396,163958
1397,183476
1398,144573
1399,132733
1400,226311
1401,216523
1402,185226
1403,237430
1404,116168
1405,170413
1406,165473
1407,220212
1408,182570
1409,193865
1410,192034
1411,135193
1412,121904
1413,229181
1414,153885
1415,223735
1416,169730
1417,225436
1418,144572
1419,217975
1420,175441
1421,186333
1422,203259
1423,117620
1424,211192
1425,232456
1426,197458
1427,205072
1428,161479
1429,55650
1430,207150
1431,201330
1432,200570
1433,216632
1434,206109
1435,109353
1436,231974
1437,196207
1438,204233
1439,206137
1440,237076
1441,192393
1442,181250
1443,216650
1444,247912
1445,218096
1446,202534
1447,208319
1448,117321
1449,91345
1450,233429
1451,199346
1452,148896
1453,215326
1454,206831
1455,202908
1456,226612
1457,245713
1458,186678
1459,186832
1460,228704
1461,124439
1462,190206
1463,115809
1464,185556
1465,87382
1466,101031
1467,139913
1468,244261
1469,204235
1470,93135
1471,144910
1472,191880
1473,229360
1474,234581
1475,232487
1476,223084
1477,172597
1478,207237
1479,150338
1480,216534
1481,100701
1482,232056
1483,234506
1484,179160
1485,217907
1486,231697
1487,203391
1488,205553
1489,180844
1490,166106
1491,216494
1492,227230
1493,193861
1494,242089
1495,202768
1496,227931
1497,200319
1498,188369
1499,195588
1500,180864
1501,183947
1502,192886
1503,215345
1504,194600
1505,230954
1506,232704
1507,91678
1508,194326
1509,226865
1510,194266
1511,213938
1512,120903
1513,181362
1514,123402
1515,95678
1516,228161
1517,144612
1518,109720
1519,220056
1520,211073
1521,202891
1522,186901
1523,233814
1524,103916
1525,128398
1526,165019
1527,243533
1528,219727
1529,211138
1530,214427
1531,128409
1532,177656
1533,191326
1534,213614
1535,178700
1536,102502
1537,212873
1538,114693
1539,193827
1540,200379
1541,122678
1542,213078
1543,224451
1544,94232
1545,187005
1546,201072
1547,226981
1548,94931
1549,161098
1550,218932
1551,182320
1552,168325
1553,74804
1554,223708
1555,121546
1556,205571
1557,190213
1558,202032
1559,193139
1560,220087
1561,120898
1562,204628
1563,188839
1564,115477
1565,200757
1566,78470
1567,197153
1568,205766
1569,144575
1570,236028
1571,238085
1572,192600
1573,175564
1574,225875
1575,167629
1576,204277
1577,136674
1578,171211
1579,208427
1580,166124
1581,208578
1582,224099
1583,203556
1584,228144
1585,211411
1586,196337
1587,96421
1588,221846
1589,222575
1590,130546
1591,178407
1592,178460
1593,191663
1594,199682
1595,220924
1596,191278
1597,120096
1598,185920
1599,99246
1600,106776
1601,209189
1602,212805
1603,190692
1604,206166
1605,218664
1606,221838
1607,85911
1608,198632
1609,92385
1610,242847
1611,170489
1612,185590
1613,193478
1614,225983
1615,228465
1616,226688
1617,197024
1618,104618
1619,221677
1620,224306
1621,228672
1622,218751
1623,189877
1624,223874
1625,161321
1626,197486
1627,226546
1628,169078
1629,230993
1630,114738
1631,225906
1632,230396
1633,155356
1634,221059
1635,214010
1636,180453
1637,210043
1638,222435
1639,183070
1640,207830
1641,228811
1642,145946
1643,213351
1644,101042
1645,135868
1646,222653
1647,224054
1648,217609
1649,210455
1650,221938
1651,127657
1652,224094
1653,180514
1654,216926
1655,164761
1656,223347
1657,229094
1658,210471
1659,170250
1660,83426
1661,220713
1662,209732
1663,221935
1664,197882
1665,211307
1666,204725
1667,239217
1668,187671
1669,239612
1670,202695
1671,114756
1672,223693
1673,219368
1674,52772
1675,247181
1676,226975
1677,206885
1678,201845
1679,218299
1680,212971
1681,85576
1682,171502
1683,220005
1684,133430
1685,212075
1686,221463
1687,219475
1688,128100
1689,222075
1690,204247
1691,141714
1692,227683
1693,207104
1694,226314
1695,226845
1696,194599
1697,226892
1698,189951
1699,186980
1700,208254
1701,113295
1702,212317
1703,217388
1704,180926
1705,244977
1706,222238
1707,216848
1708,246455
1709,194096
1710,181135
1711,74381
1712,239225
1713,162584
1714,196485
1715,233802
1716,224953
1717,82299
1718,164372
1719,104677
1720,106805
1721,193878
1722,94248
1723,104378
1724,222645
1725,172538
1726,124124
1727,208774
1728,233170
1729,161112
1730,216572
1731,75820
1732,217274
1733,131243
1734,200354
1735,186618
1736,199118
1737,219757
1738,229110
1739,179811
1740,186894
1741,223283
1742,197042
1743,126922
1744,226976
1745,246426
1746,221503
1747,225218
1748,90638
1749,199615
1750,232011
1751,174413
1752,216845
1753,186244
1754,219337
1755,94937
1756,242126
1757,87738
1758,215424
1759,213728
1760,139916
1761,231889
1762,71212
1763,248606
1764,127354
1765,206095
1766,187748
1767,227483
1768,228887
1769,230442
1770,222913
1771,223286
1772,211115
1773,232362
1774,229497
1775,193077
1776,141321
1777,226067
1778,219495
1779,199695
1780,191994
1781,170540
1782,88787
1783,194272
1784,227368
1785,180458
1786,185236
1787,203442
1788,213524
1789,121965
1790,191317
1791,230616
1792,92066
1793,246421
1794,217258
1795,116585
1796,199694
1797,210360
1798,174724
1799,216488
1800,205727
1801,101790
1802,205017
1803,191934
1804,161794
1805,200414
1806,228701
1807,248617
1808,218645
1809,182358
1810,212212
1811,239219
1812,194982
1813,207459
1814,224361
1815,152113
1816,140309
1817,220848
1818,174729
1819,182079
1820,242775
1821,189198
1822,89227
1823,226468
1824,182766
1825,98557
1826,229476
1827,235911
1828,229453
1829,169679
1830,229673
1831,228397
1832,203586
1833,220961
1834,192048
1835,154630
1836,169775
1837,220061
1838,223259
1839,228396
1840,217279
1841,167613
1842,82692
1843,149558
1844,219024
1845,117950
1846,209483
1847,218706
1848,219411
1849,210121
1850,220768
1851,138450
1852,99260
1853,207974
1854,131618
1855,217886
1856,132348
1857,126639
1858,182627
1859,212498
1860,221106
1861,209222
1862,148117
1863,209378
1864,91308
1865,240664
1866,234619
1867,223799
1868,115434
1869,190658
1870,110791
1871,232400
1872,198200
1873,233176
1874,184171
1875,239594
1876,217412
1877,183292
1878,224657
1879,215849
1880,217515
1881,164677
1882,117979
1883,221550
1884,124489
1885,223596
1886,218965
1887,233940
1888,230446
1889,219322
1890,80579
1891,241409
1892,226229
1893,190623
1894,204434
1895,180492
1896,237741
1897,117956
1898,217269
1899,89159
1900,119379
1901,180640
1902,174010
1903,169398
1904,213027
1905,217924
1906,201824
1907,67909
1908,189059
1909,162538
1910,181624
1911,234599
1912,218705
1913,118306
1914,202203
1915,235264
1916,196386
1917,106811
1918,180550
1919,201350
1920,167957
1921,89891
1922,79077
1923,107563
1924,92817
1925,93491
1926,211506
1927,89527
1928,205340
1929,219989
1930,183463
1931,245021
1932,225289
1933,230552
1934,94187
1935,209383
1936,220944
1937,230470
1938,164316
1939,219828
1940,189506
1941,207273
1942,214712
1943,84839
1944,219430
1945,225175
1946,188490
1947,126567
1948,170474
1949,188831
1950,216385
1951,109678
1952,201341
1953,202722
1954,215713
1955,194546
1956,73677
1957,204229
1958,239211
1959,232774
1960,220644
1961,184495
1962,230204
1963,189815
1964,189704
